,UserId,TransactionId,TransactionTime,ItemCode,ItemDescription,NumberOfItemsPurchased,CostPerItem,Country
108,-1,6371057,Sat Feb 09 11:31:00 IST 2019,435393,GOLD MINI TAPE MEASURE ,9,1.15,United Kingdom
109,306726,6046920,Sat Jun 23 11:25:00 IST 2018,457464,SHOE SHINE BOX ,3,13.74,United Kingdom
110,359646,6154984,Fri Sep 21 09:52:00 IST 2018,445347,SKULL AND CROSSBONES  GARLAND ,3,2.28,United Kingdom
111,275058,6304573,Tue Jan 08 13:56:00 IST 2019,490245, DOLLY GIRL BEAKER,36,1.73,United Kingdom
112,331905,6299172,Sun Jan 06 08:11:00 IST 2019,494949,TRADTIONAL ALPHABET STAMP SET,12,6.84,United Kingdom
113,-1,5955664,Sat Mar 31 13:57:00 IST 2018,471870,HEART OF WICKER LARGE,3,8.0,United Kingdom
114,267708,6334834,Wed Jan 23 10:25:00 IST 2019,463491,SMALL WHITE RETROSPOT MUG IN BOX ,327,0.69,United Kingdom
115,-1,6236439,Tue Nov 27 12:32:00 IST 2018,482958,TRAVEL CARD WALLET KEEP CALM,3,1.15,United Kingdom
116,290094,6226451,Tue Nov 20 09:48:00 IST 2018,445410,SET OF 72 RETROSPOT PAPER  DOILIES,36,2.01,Germany
117,-1,6214714,Mon Nov 12 11:32:00 IST 2018,445536,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",3,14.9,United Kingdom
118,369285,6019640,Sat Jun 02 12:32:00 IST 2018,463386,LOVE HEART TRINKET POT,6,0.54,United Kingdom
119,-1,5960570,Sat Apr 07 05:39:00 IST 2018,457254,DECORATIVE CATS BATHROOM BOTTLE,3,3.4,United Kingdom
120,-1,5918781,Tue Feb 20 10:09:00 IST 2018,478317,GLASS CLOCHE LARGE,3,23.44,United Kingdom
121,308007,5921377,Wed Feb 21 09:27:00 IST 2018,444234,RED RETROSPOT OVEN GLOVE ,3,1.73,United Kingdom
122,302715,6395532,Tue Feb 19 10:38:00 IST 2019,486024,ZINC T-LIGHT HOLDER STARS SMALL,36,1.15,United Kingdom
123,365484,6150595,Mon Sep 17 10:17:00 IST 2018,472311,PACK OF 12 COLOURED PENCILS,864,1.18,Sweden
124,300090,6370826,Sat Feb 09 10:02:00 IST 2019,477225,ALARM CLOCK BAKELIKE CHOCOLATE,12,5.18,United Kingdom
125,278523,6277150,Sun Dec 23 09:13:00 IST 2018,490455,HOT WATER BOTTLE KEEP CALM,6,6.84,United Kingdom
126,339381,6246669,Tue Dec 04 10:53:00 IST 2018,1764672,CHARLIE+LOLA PINK HOT WATER BOTTLE,18,4.08,United Kingdom
127,365337,6347572,Tue Jan 29 10:08:00 IST 2019,1764630,ENGLISH ROSE HOT WATER BOTTLE,6,5.87,United Kingdom
128,259770,6008596,Tue May 22 08:48:00 IST 2018,478464,LANTERN CREAM GAZEBO ,18,6.84,Cyprus
129,296352,6307499,Fri Jan 11 12:00:00 IST 2019,483315,CORDIAL JUG,12,11.39,United Kingdom
130,278691,6314693,Mon Jan 14 10:31:00 IST 2019,452130,DAIRY MAID TOASTRACK,3,1.1,United Kingdom
131,343287,6370606,Sat Feb 09 09:14:00 IST 2019,490476,LOVE HOT WATER BOTTLE,3,8.22,United Kingdom
132,-1,6395829,Tue Feb 19 12:30:00 IST 2019,1732374,WOODEN FRAME ANTIQUE WHITE ,3,10.3,United Kingdom
133,263319,6021257,Sun Jun 03 12:00:00 IST 2018,484029,RECYCLED ACAPULCO MAT RED,6,11.39,Spain
134,-1,6391253,Mon Feb 18 06:35:00 IST 2019,482958,TRAVEL CARD WALLET KEEP CALM,9,1.15,United Kingdom
135,319683,6036228,Sat Jun 16 08:28:00 IST 2018,470883,REGENCY CAKESTAND 3 TIER,-24,17.6,United Kingdom
136,353472,6074101,Wed Jul 18 10:12:00 IST 2018,999390,BLUE HAPPY BIRTHDAY BUNTING,9,7.53,United Kingdom
137,340662,5963177,Sun Apr 08 09:38:00 IST 2018,447993,CLASSIC WHITE FRAME,3,4.08,United Kingdom
138,289107,5908969,Fri Feb 16 09:29:00 IST 2018,451101,FAWN BLUE HOT WATER BOTTLE,72,4.08,United Kingdom
139,341859,6232644,Sun Nov 25 12:26:00 IST 2018,489006,BLUE VINTAGE SPOT BEAKER,24,1.18,United Kingdom
140,-1,6077588,Sat Jul 21 12:27:00 IST 2018,488964,DOORMAT KEEP CALM AND COME IN,6,21.8,United Kingdom
141,372435,6393068,Mon Feb 18 12:47:00 IST 2019,435267,LUNCH BAG  BLACK SKULL.,30,2.28,United Kingdom
142,335958,6133270,Sun Sep 02 06:48:00 IST 2018,461748,PACK OF 6 SKULL PAPER PLATES,6,1.18,United Kingdom
143,351666,6386996,Sat Feb 16 08:33:00 IST 2019,489720,GIANT 50'S CHRISTMAS CRACKER,36,1.73,United Kingdom
144,-1,6019728,Sun Jun 03 05:23:00 IST 2018,461580,PACK OF 12 RED RETROSPOT TISSUES ,3,1.15,United Kingdom
145,300258,6255425,Mon Dec 10 09:32:00 IST 2018,1787079,JUMBO BAG RED RETROSPOT,60,2.48,United Kingdom
146,330876,6037504,Sat Jun 16 10:00:00 IST 2018,486759,CLOCK MAGNET MUM'S KITCHEN,3,3.99,United Kingdom
147,305025,6352280,Fri Feb 01 07:37:00 IST 2019,455322,LARGE MEDINA STAMPED METAL BOWL ,6,6.84,United Kingdom
148,-1,6108674,Tue Aug 14 07:12:00 IST 2018,1780905,wet damaged,-288,0.0,United Kingdom
149,364266,6092163,Tue Jul 31 07:41:00 IST 2018,482916,TRAVEL CARD WALLET VINTAGE TICKET,3,0.58,United Kingdom
150,-1,5914326,Fri Feb 18 14:36:00 IST 2028,446418,VICTORIAN SEWING BOX LARGE,3,35.18,United Kingdom
151,-1,5914040,Fri Feb 18 11:31:00 IST 2028,445872,STRAWBERRY CERAMIC TRINKET BOX,3,0.0,United Kingdom
152,312438,6367405,Fri Feb 08 07:15:00 IST 2019,488964,DOORMAT KEEP CALM AND COME IN,30,9.78,United Kingdom
153,363783,6188259,Fri Oct 19 08:05:00 IST 2018,435204,RED RETROSPOT CHARLOTTE BAG,18,1.18,United Kingdom
154,266301,5970085,Sat Apr 14 11:36:00 IST 2018,-1,POSTAGE,9,24.84,France
155,369873,6195266,Fri Oct 26 08:08:00 IST 2018,460488,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,15,2.88,United Kingdom
156,304815,6107574,Mon Aug 13 08:54:00 IST 2018,1012074,DOORMAT HEARTS,18,10.98,United Kingdom
157,-1,6030233,Sun Jun 10 12:40:00 IST 2018,487074,GYMKHANA TREASURE BOOK BOX,87,6.84,United Kingdom
158,-1,6023017,Mon Jun 04 11:30:00 IST 2018,1788906,EASTER BUNNY GARLAND OF FLOWERS,3,1.15,United Kingdom
159,365106,6381837,Wed Feb 13 07:28:00 IST 2019,474474,CHRISTMAS GINGHAM TREE,108,1.18,United Kingdom
160,293475,6325803,Sun Jan 20 09:10:00 IST 2019,490791,SET 36 COLOUR PENCILS SPACEBOY ,9,1.73,United Kingdom
161,285516,6368131,Fri Feb 08 07:57:00 IST 2019,1784748,SET OF 72 PINK HEART PAPER DOILIES,3,2.01,United Kingdom
162,342636,6268328,Tue Dec 18 09:48:00 IST 2018,470862,TOOTHPASTE TUBE PEN,36,0.9,United Kingdom
163,306726,6370078,Sat Feb 09 07:18:00 IST 2019,472269,PACK OF 12 TRADITIONAL CRAYONS,3,0.58,United Kingdom
164,375879,6146459,Fri Sep 14 10:58:00 IST 2018,459648,BINGO SET,3,5.18,United Kingdom
165,317226,6081559,Tue Jul 24 04:41:00 IST 2018,315756,ASSORTED COLOURS SILK FAN,36,1.15,United Kingdom
166,-1,6134040,Sun Sep 02 12:24:00 IST 2018,451101,FAWN BLUE HOT WATER BOTTLE,3,9.15,United Kingdom
167,-1,6252521,Sun Dec 09 06:52:00 IST 2018,465213,ANGEL DECORATION STARS ON DRESS,9,1.15,United Kingdom
168,372435,6042091,Tue Jun 19 09:19:00 IST 2018,456036,BOYS VINTAGE TIN SEASIDE BUCKET,24,3.52,United Kingdom
169,381801,6342600,Sun Jan 27 11:08:00 IST 2019,1501017,COLOURED GLASS STAR T-LIGHT HOLDER,6,5.46,United Kingdom
170,316638,5991260,Sun May 06 09:47:00 IST 2018,470883,REGENCY CAKESTAND 3 TIER,6,17.6,United Kingdom
171,309477,5936953,Sun Mar 04 09:49:00 IST 2018,446460,FIRST AID TIN,30,4.49,United Kingdom
172,-1,6286588,Sat Dec 29 11:27:00 IST 2018,459417,HOME SWEET HOME MUG,9,4.55,United Kingdom
173,343560,6230620,Sat Nov 24 09:50:00 IST 2018,489321,GARDENERS KNEELING PAD KEEP CALM ,6,2.28,United Kingdom
174,-1,6376634,Mon Feb 11 10:11:00 IST 2019,1787079,JUMBO  BAG BAROQUE BLACK WHITE,3,5.7,United Kingdom
175,-1,6062914,Sun Jul 08 13:02:00 IST 2018,999390,PINK HAPPY BIRTHDAY BUNTING,3,14.9,United Kingdom
176,300111,6393530,Tue Feb 19 06:24:00 IST 2019,491190,DOLLY GIRL MINI BACKPACK,12,5.73,United Kingdom
177,-1,6390813,Sun Feb 17 12:26:00 IST 2019,486318,SET OF 5 LUCKY CAT MAGNETS ,12,5.7,United Kingdom
178,289044,6164884,Sat Sep 29 13:15:00 IST 2018,445452,PACK OF 72 RETROSPOT CAKE CASES,3,0.76,United Kingdom
179,270165,6336209,Fri Jan 25 10:31:00 IST 2019,493353,VINTAGE DOILY TRAVEL SEWING KIT,30,2.7,Austria
180,295848,6314737,Mon Jan 14 10:50:00 IST 2019,465024,CHRISTMAS CRAFT LITTLE FRIENDS,180,2.56,United Kingdom
181,313131,6369759,Sat Feb 09 06:31:00 IST 2019,452277,RED RETROSPOT PUDDING BOWL,24,5.87,EIRE
182,329847,6319896,Wed Jan 16 10:35:00 IST 2019,466137,POPCORN HOLDER,3,1.18,United Kingdom
183,374661,6011973,Sat May 26 11:40:00 IST 2018,467334,FELT TOADSTOOL LARGE,6,1.73,United Kingdom
184,-1,6358737,Sun Feb 03 11:43:00 IST 2019,473319,MINI JIGSAW DOLLY GIRL,3,1.15,United Kingdom
185,376320,6245844,Tue Dec 04 08:13:00 IST 2018,435729,ASSORTED COLOUR MINI CASES,3,10.98,United Kingdom
186,274638,6095991,Sat Aug 04 08:09:00 IST 2018,1734222,AREA PATROLLED METAL SIGN,36,2.9,United Kingdom
187,351309,6048295,Sun Jun 24 10:22:00 IST 2018,998886,PARTY BUNTING,12,6.84,United Kingdom
188,370083,6323196,Sat Jan 19 07:32:00 IST 2019,998886,PARTY BUNTING,12,6.84,United Kingdom
189,340725,6158878,Mon Sep 24 08:18:00 IST 2018,459396,POTTERING MUG,18,1.73,United Kingdom
190,368781,6352621,Fri Feb 01 08:53:00 IST 2019,492849,CARD HOLDER LOVE BIRD SMALL,3,5.73,United Kingdom
191,267120,6136350,Tue Sep 04 06:56:00 IST 2018,479199,"BIRTHDAY CARD, RETRO SPOT",36,0.58,Germany
192,305235,6275038,Sat Dec 22 11:39:00 IST 2018,1732122,WOODEN PICTURE FRAME WHITE FINISH,36,4.08,United Kingdom
193,383943,5995869,Sat May 12 06:30:00 IST 2018,470064,LUNCH BAG PINK POLKADOT,3,2.28,United Kingdom
194,267708,5934005,Wed Feb 28 13:17:00 IST 2018,444486,COOK WITH WINE METAL SIGN ,3,2.7,United Kingdom
195,-1,6125031,Mon Aug 27 06:22:00 IST 2018,998886,TEA TIME PARTY BUNTING,3,11.45,United Kingdom
196,305067,6218432,Wed Nov 14 08:37:00 IST 2018,460362,UNION STRIPE WITH FRINGE  HAMMOCK,3,10.98,United Kingdom
197,382746,6301702,Mon Jan 07 09:36:00 IST 2019,489342,KNEELING MAT HOUSEWORK  DESIGN,36,2.28,United Kingdom
198,355005,6352775,Fri Feb 01 09:37:00 IST 2019,494970,TRADITIONAL PICK UP STICKS GAME ,60,1.73,United Kingdom
199,268422,5963617,Mon Apr 09 06:02:00 IST 2018,464919,RETROSPOT TEA SET CERAMIC 11 PC ,27,6.84,Portugal
200,333018,5992745,Mon May 07 09:21:00 IST 2018,462483,EMPIRE BIRTHDAY CARD,72,0.58,United Kingdom
201,278649,6035788,Fri Jun 15 08:41:00 IST 2018,466137,SMALL POPCORN HOLDER,66,1.18,United Kingdom
202,315483,6137494,Tue Sep 04 14:44:00 IST 2018,488964,DOORMAT KEEP CALM AND COME IN,9,10.98,United Kingdom
203,342867,5908507,Fri Feb 16 08:43:00 IST 2018,1519371,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,6,2.9,United Kingdom
204,-1,6355448,Sat Feb 02 11:18:00 IST 2019,1890063,CRYSTAL PAIR HEART HAIR SLIDES,3,5.15,United Kingdom
205,349314,6066753,Fri Jul 13 08:09:00 IST 2018,463827,PAPER BUNTING WHITE LACE,54,4.08,United Kingdom
206,-1,6027604,Sat Jun 09 11:45:00 IST 2018,457590,VINTAGE SNAP CARDS,3,2.25,United Kingdom
207,300258,6169251,Tue Oct 02 08:25:00 IST 2018,488754,STAR T-LIGHT HOLDER WILLIE WINKIE,72,2.01,United Kingdom
208,290934,5992734,Mon May 07 08:50:00 IST 2018,478317,GLASS CLOCHE LARGE,6,11.73,United Kingdom
209,305403,6034248,Wed Jun 13 06:43:00 IST 2018,475104,IVORY KITCHEN SCALES,12,10.56,United Kingdom
210,-1,6168569,Tue Oct 02 05:30:00 IST 2018,316176,EDWARDIAN PARASOL NATURAL,6,17.2,United Kingdom
